Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source
SRR28752470,WGS,294.0,81957492,PRJNA1102327,SAMN41019216,Viral,26941955,USDA-NVSL,2024,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24318174,USA,North America,USA,Cattle,Illumina iSeq 100,24-009027-002-v,24-009027-002-v,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009027-002-v,SRP503016,H5N1,
SRR28752471,WGS,292.0,44028318,PRJNA1102327,SAMN41019215,Viral,14133665,USDA-NVSL,2024,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318173,USA,North America,USA,Cattle,Illumina iSeq 100,24-009027-002-original,24-009027-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009027-002-original,SRP503016,H5N1,
SRR28752472,WGS,293.0,69087252,PRJNA1102327,SAMN41019214,Viral,22742142,USDA-NVSL,2024,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318172,USA,North America,USA,Cattle,Illumina iSeq 100,24-009027-001-v,24-009027-001-v,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009027-001-v,SRP503016,H5N1,
SRR28752473,WGS,266.0,48991530,PRJNA1102327,SAMN41019213,Viral,17117096,USDA-NVSL,2024,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318171,USA,North America,USA,Cat,Illumina iSeq 100,24-008850-002-original,24-008850-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-008850-002-original,SRP503016,H5N1,
SRR28752474,WGS,285.0,41926899,PRJNA1102327,SAMN41019212,Viral,14410316,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318170,USA,North America,USA,Cat,Illumina iSeq 100,24-008850-001-original,24-008850-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-008850-001-original,SRP503016,H5N1,
SRR28752475,WGS,295.0,56176658,PRJNA1102327,SAMN41019211,Viral,17554275,USDA-NVSL,2024,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318169,USA,North America,USA,Cattle,Illumina iSeq 100,24-008767-001-v,24-008767-001-v,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-008767-001-v,SRP503016,H5N1,
SRR28752476,WGS,295.0,60586686,PRJNA1102327,SAMN41019210,Viral,19026857,USDA-NVSL,2024,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318168,USA,North America,USA,Cattle,Illumina iSeq 100,24-008766-001-v,24-008766-001-v,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-008766-001-v,SRP503016,H5N1,
SRR28752477,WGS,293.0,193539911,PRJNA1102327,SAMN41019209,Viral,64912550,USDA-NVSL,2024,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318167,USA,North America,USA,Cattle,Illumina iSeq 100,24-008766-001-original,24-008766-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-008766-001-original,SRP503016,H5N1,
SRR28752478,WGS,292.0,85489801,PRJNA1102327,SAMN41019366,Viral,27000983,USDA-NVSL,2024,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318166,USA,North America,USA,Cattle,Illumina iSeq 100,24-010193-003-original,24-010193-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-010193-003-original,SRP503016,H5N1,
SRR28752479,WGS,292.0,43275482,PRJNA1102327,SAMN41019365,Viral,14036920,USDA-NVSL,2024,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318165,USA,North America,USA,Cattle,Illumina iSeq 100,24-010192-006-original,24-010192-006-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010192-006-original,SRP503016,H5N1,
SRR28752480,WGS,293.0,63278861,PRJNA1102327,SAMN41019364,Viral,20131984,USDA-NVSL,2024,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318164,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-010-original,24-010071-010-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-010-original,SRP503016,H5N1,
SRR28752481,WGS,292.0,27345544,PRJNA1102327,SAMN41019363,Viral,9000354,USDA-NVSL,2024,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318163,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-009-original,24-010071-009-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-010071-009-original,SRP503016,H5N1,
SRR28752482,WGS,292.0,67219828,PRJNA1102327,SAMN41019362,Viral,21512988,USDA-NVSL,2024,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318162,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-008-original,24-010071-008-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-008-original,SRP503016,H5N1,
SRR28752483,WGS,293.0,88502874,PRJNA1102327,SAMN41019361,Viral,28181298,USDA-NVSL,2024,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318161,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-007-original,24-010071-007-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-007-original,SRP503016,H5N1,
SRR28752484,WGS,293.0,80661835,PRJNA1102327,SAMN41019360,Viral,25608216,USDA-NVSL,2024,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318160,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-006-original,24-010071-006-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-006-original,SRP503016,H5N1,
SRR28752485,WGS,286.0,20808932,PRJNA1102327,SAMN41019359,Viral,6691502,USDA-NVSL,2024,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318159,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-005-original,24-010071-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-005-original,SRP503016,H5N1,
SRR28752486,WGS,293.0,83128276,PRJNA1102327,SAMN41019358,Viral,26353518,USDA-NVSL,2024,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318158,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-003-original,24-010071-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-003-original,SRP503016,H5N1,
SRR28752487,WGS,290.0,134296517,PRJNA1102327,SAMN41019196,Viral,42862135,USDA-NVSL,2024,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24318157,USA,North America,USA,Cattle,Illumina iSeq 100,24-008749-001-original,24-008749-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-008749-001-original,SRP503016,H5N1,
SRR28752488,WGS,292.0,48586464,PRJNA1102327,SAMN41019357,Viral,15342982,USDA-NVSL,2024,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24318156,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-002-original,24-010071-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-002-original,SRP503016,H5N1,
SRR28752489,WGS,289.0,19203081,PRJNA1102327,SAMN41019356,Viral,6231091,USDA-NVSL,2024,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318155,USA,North America,USA,Cattle,Illumina iSeq 100,24-010071-001-original,24-010071-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-010071-001-original,SRP503016,H5N1,
SRR28752490,WGS,291.0,63037297,PRJNA1102327,SAMN41019355,Viral,20685704,USDA-NVSL,2024,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318154,USA,North America,USA,Cattle,Illumina iSeq 100,24-009776-015-original,24-009776-015-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009776-015-original,SRP503016,H5N1,
SRR28752491,WGS,290.0,80452502,PRJNA1102327,SAMN41019354,Viral,26403711,USDA-NVSL,2024,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24318153,USA,North America,USA,Cattle,Illumina iSeq 100,24-009776-004-original,24-009776-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009776-004-original,SRP503016,H5N1,
SRR28752492,WGS,289.0,78502764,PRJNA1102327,SAMN41019353,Viral,25839794,USDA-NVSL,2024,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318152,USA,North America,USA,Cattle,Illumina iSeq 100,24-009776-002-original,24-009776-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009776-002-original,SRP503016,H5N1,
SRR28752493,WGS,290.0,56662124,PRJNA1102327,SAMN41019352,Viral,19213310,USDA-NVSL,2024,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24318151,USA,North America,USA,Cattle,Illumina iSeq 100,24-009776-001-original,24-009776-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009776-001-original,SRP503016,H5N1,
SRR28752494,WGS,502.0,73944460,PRJNA1102327,SAMN41019351,Viral,24240444,USDA-NVSL,2024,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24318150,USA,North America,USA,Cattle,Illumina MiSeq,24-009775-001-original,24-009775-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009775-001-original,SRP503016,H5N1,
SRR28752495,WGS,290.0,63847826,PRJNA1102327,SAMN41019350,Viral,20870373,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318149,USA,North America,USA,Chicken,Illumina iSeq 100,24-009654-004-original,24-009654-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:12:00Z,1,24-009654-004-original,SRP503016,H5N1,
SRR28752496,WGS,291.0,66861277,PRJNA1102327,SAMN41019349,Viral,22101805,USDA-NVSL,2024,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24318148,USA,North America,USA,Chicken,Illumina iSeq 100,24-009654-001-original,24-009654-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009654-001-original,SRP503016,H5N1,
SRR28752497,WGS,290.0,58486975,PRJNA1102327,SAMN41019348,Viral,18691194,USDA-NVSL,2024,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318147,USA,North America,USA,Cattle,Illumina iSeq 100,24-009586-010-original,24-009586-010-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009586-010-original,SRP503016,H5N1,
SRR28752498,WGS,289.0,109109693,PRJNA1102327,SAMN41019195,Viral,35147964,USDA-NVSL,2024,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24318146,USA,North America,USA,Cattle,Illumina iSeq 100,24-008660-002-original,24-008660-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-008660-002-original,SRP503016,H5N1,
SRR28752499,WGS,292.0,72262552,PRJNA1102327,SAMN41019347,Viral,23069581,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24318145,USA,North America,USA,Cattle,Illumina iSeq 100,24-009586-009-original,24-009586-009-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20T00:00:00Z,2024-04-20T18:13:00Z,1,24-009586-009-original,SRP503016,H5N1,
